,Echantillon,Type,Value,Depth_cm
11,L3,C,115.61704471638556,0.11
12,L3,C,105.68159006719101,0.12
13,L3,C,96.17413384217319,0.13
14,L3,C,87.14113408730383,0.14
15,L3,C,78.56791869402066,0.15
16,L3,C,70.41967922504811,0.16
17,L3,C,62.656040753326465,0.17
18,L3,C,55.22782838158083,0.18
19,L3,C,48.105381115731475,0.19
20,L3,C,41.30642109080913,0.2
21,L3,C,34.841952816366906,0.21
22,L3,C,28.697863269897347,0.22
23,L3,C,22.857549222665078,0.23
24,L3,C,17.309683658790252,0.24
25,L3,C,12.044771653185077,0.25
26,L3,C,7.452150644590179,0.26
27,L3,C,4.150346140184177,0.27
28,L3,C,2.2581929435869186,0.28
29,L3,C,1.2099954719655035,0.29
30,L3,C,0.516235656101744,0.3
31,L3,C,0.0,0.31
0,A2,Db,0.0,
1,A2,SSE,0.002718782103201794,
2,A2,R_int,-0.025168036962754232,
3,A2,r^2,0.9973092551032654,
0,A2,R,0.0,0.0
1,A2,R,-0.10334328894254351,0.02214285714285714
2,A2,R,-0.10334328799966752,0.04428571428571428
3,A2,R,-0.10331612313037287,0.06642857142857142
4,A2,R,-0.03742753173696427,0.08857142857142856
5,A2,R,-0.03794854476031393,0.11071428571428571
6,A2,R,-0.03931395276416308,0.13285714285714284
7,A2,R,-0.03860127601148668,0.155
8,A2,R,-0.038743473043023814,0.17714285714285713
9,A2,R,-0.05584767528739014,0.19928571428571426
10,A2,R,-0.06704963807893254,0.22142857142857142
11,A2,R,-0.07924971711326825,0.24357142857142855
12,A2,R,-0.07882108552867169,0.2657142857142857
13,A2,R,0.0,0.2878571428571428
14,A2,R,0.0,0.31
0,A2,C,231.3943104963368,0.0
1,A2,C,220.82380311055488,0.01
2,A2,C,209.86561105143852,0.02
3,A2,C,198.8214203203869,0.03
4,A2,C,187.87638986548467,0.04
5,A2,C,177.12087518704178,0.05
6,A2,C,166.62579711913577,0.06
7,A2,C,156.47754777655405,0.07
8,A2,C,146.7578302517129,0.08
9,A2,C,137.3235624867171,0.09
10,A2,C,128.00398698407062,0.1
11,A2,C,118.74159723379222,0.11
12,A2,C,109.56498702615917,0.12
13,A2,C,100.51081213043409,0.13
